customer_id,name,email,phone,age,salary,purchase_amount,city,purchase_date
C0050,Amit Kumar,mayur@example.com,9876543210,41,900000,70000,Mumbai,2024-01-03 01:00:00
C0051,Mayurkumar Surani,,918765432109,47,1300000,15000,Delhi,2024-01-03 02:00:00
C0052,Rahul Sharma,mayur@example.com,7654321098,26,1500000,20000,Delhi,2024-01-03 03:00:00
C0053,Rahul Sharma,mayur@example.com,7654321098,54,500000,55000,Mumbai,2024-01-03 04:00:00
C0054,Mayurkumar Surani,mayur@example.com,9876543210,47,1000000,50000,Pune,2024-01-03 05:00:00
C0055,Rahul Sharma,priya@example.com,7654321098,33,600000,147500,Delhi,2024-01-03 06:00:00
C0056,Sneha Desai,priya@example.com,9876543210,29,1900000,45000,Pune,2024-01-03 07:00:00
C0057,Rahul Sharma,mayur@example.com,9876543210,35,1800000,55000,Mumbai,2024-01-03 08:00:00
C0058,Amit Kumar,,9876543210,35,900000,80000,Pune,2024-01-03 09:00:00
C0059,Amit Kumar,rahul@example.com,9876543210,50,1000000,20000,Mumbai,2024-01-03 10:00:00
C0060,Amit Kumar,rahul@example.com,9876543210,81,1000000,30000,Delhi,2024-01-03 11:00:00
C0061,Amit Kumar,rahul@example.com,9876543210,44,1800000,20000,Pune,2024-01-03 12:00:00
C0062,Sneha Desai,,9876543210,32,1400000,85000,Bangalore,2024-01-03 13:00:00
C0063,Priya  Patel,priya@example.com,7654321098,25,1800000,90000,Pune,2024-01-03 14:00:00
C0064,Mayurkumar Surani,mayur@example.com,9876543210,28,1700000,80000,Delhi,2024-01-03 15:00:00
C0065,Mayurkumar Surani,rahul@example.com,918765432109,55,700000,20000,Mumbai,2024-01-03 16:00:00
C0066,Amit Kumar,rahul@example.com,918765432109,81,1000000,65000,Mumbai,2024-01-03 17:00:00
C0067,Rahul Sharma,priya@example.com,7654321098,39,1200000,50000,Delhi,2024-01-03 18:00:00
C0068,Amit Kumar,priya@example.com,7654321098,37,1600000,65000,Mumbai,2024-01-03 19:00:00
C0069,Rahul Sharma,mayur@example.com,9876543210,81,1700000,80000,Mumbai,2024-01-03 20:00:00
C0070,Mayurkumar Surani,rahul@example.com,918765432109,40,1500000,15000,Mumbai,2024-01-03 21:00:00
C0071,Mayurkumar Surani,,918765432109,23,1600000,95000,Mumbai,2024-01-03 22:00:00
C0072,Mayurkumar Surani,priya@example.com,918765432109,52,500000,147500,Delhi,2024-01-03 23:00:00
C0073,Rahul Sharma,mayur@example.com,918765432109,46,3150000,65000,Mumbai,2024-01-04 00:00:00
C0074,Amit Kumar,,918765432109,26,3150000,25000,Mumbai,2024-01-04 01:00:00
C0075,Mayurkumar Surani,rahul@example.com,9876543210,25,1500000,85000,Mumbai,2024-01-04 02:00:00
C0076,Sneha Desai,priya@example.com,7654321098,34,1700000,85000,Mumbai,2024-01-04 03:00:00
C0077,Rahul Sharma,,9876543210,37,1500000,10000,Pune,2024-01-04 04:00:00
C0078,Rahul Sharma,,918765432109,51,1600000,15000,Bangalore,2024-01-04 05:00:00
C0079,Amit Kumar,,9876543210,30,1000000,20000,Pune,2024-01-04 06:00:00
C0080,Rahul Sharma,priya@example.com,9876543210,39,1300000,147500,Mumbai,2024-01-04 07:00:00
C0081,Rahul Sharma,priya@example.com,918765432109,43,3150000,90000,Bangalore,2024-01-04 08:00:00
C0082,Mayurkumar Surani,rahul@example.com,918765432109,34,800000,147500,Bangalore,2024-01-04 09:00:00
C0083,Amit Kumar,rahul@example.com,9876543210,26,700000,10000,Mumbai,2024-01-04 10:00:00
C0084,Mayurkumar Surani,mayur@example.com,9876543210,40,3150000,147500,Mumbai,2024-01-04 11:00:00
C0085,Mayurkumar Surani,,9876543210,81,1600000,35000,Mumbai,2024-01-04 12:00:00
C0086,Amit Kumar,rahul@example.com,918765432109,45,1500000,80000,Mumbai,2024-01-04 13:00:00
C0087,Mayurkumar Surani,mayur@example.com,9876543210,33,900000,75000,Delhi,2024-01-04 14:00:00
C0088,Mayurkumar Surani,rahul@example.com,9876543210,56,1000000,147500,Mumbai,2024-01-04 15:00:00
C0089,Sneha Desai,priya@example.com,9876543210,40,1000000,80000,Delhi,2024-01-04 16:00:00
C0090,Sneha Desai,,918765432109,37,800000,75000,Mumbai,2024-01-04 17:00:00
C0091,Rahul Sharma,mayur@example.com,9876543210,24,1600000,30000,Mumbai,2024-01-04 18:00:00
C0092,Sneha Desai,mayur@example.com,9876543210,22,600000,35000,Delhi,2024-01-04 19:00:00
C0093,Rahul Sharma,mayur@example.com,7654321098,42,3150000,90000,Pune,2024-01-04 20:00:00
C0094,Mayurkumar Surani,mayur@example.com,9876543210,45,1500000,60000,Delhi,2024-01-04 21:00:00
C0095,Amit Kumar,mayur@example.com,9876543210,56,1500000,85000,Mumbai,2024-01-04 22:00:00
C0096,Amit Kumar,rahul@example.com,7654321098,43,3150000,65000,Delhi,2024-01-04 23:00:00
C0097,Amit Kumar,,7654321098,38,600000,80000,Mumbai,2024-01-05 00:00:00
C0098,Sneha Desai,priya@example.com,9876543210,44,600000,25000,Mumbai,2024-01-05 01:00:00
C0099,Mayurkumar Surani,priya@example.com,7654321098,40,1200000,95000,Mumbai,2024-01-05 02:00:00
C0100,Sneha Desai,priya@example.com,918765432109,31,1700000,20000,Bangalore,2024-01-05 03:00:00
C0101,Sneha Desai,priya@example.com,918765432109,40,1400000,45000,Mumbai,2024-01-05 04:00:00
C0102,Mayurkumar Surani,rahul@example.com,918765432109,52,1200000,20000,Pune,2024-01-05 05:00:00
C0103,Mayurkumar Surani,rahul@example.com,9876543210,23,800000,45000,Mumbai,2024-01-05 06:00:00
C0104,Mayurkumar Surani,,7654321098,81,1900000,95000,Delhi,2024-01-05 07:00:00
C0105,Mayurkumar Surani,mayur@example.com,7654321098,26,500000,55000,Delhi,2024-01-05 08:00:00
C0106,Amit Kumar,rahul@example.com,9876543210,41,1500000,147500,Pune,2024-01-05 09:00:00
C0107,Priya  Patel,priya@example.com,9876543210,52,1100000,90000,Mumbai,2024-01-05 10:00:00
C0108,Priya  Patel,rahul@example.com,7654321098,36,3150000,45000,Mumbai,2024-01-05 11:00:00
C0109,Mayurkumar Surani,,7654321098,43,1600000,60000,Pune,2024-01-05 12:00:00
C0110,Priya  Patel,mayur@example.com,7654321098,53,1300000,30000,Mumbai,2024-01-05 13:00:00
C0111,Priya  Patel,mayur@example.com,9876543210,47,900000,70000,Mumbai,2024-01-05 14:00:00
C0112,Mayurkumar Surani,,7654321098,81,1400000,30000,Delhi,2024-01-05 15:00:00
C0113,Priya  Patel,,9876543210,40,800000,70000,Mumbai,2024-01-05 16:00:00
C0114,Sneha Desai,priya@example.com,9876543210,58,900000,35000,Bangalore,2024-01-05 17:00:00
C0115,Rahul Sharma,mayur@example.com,7654321098,41,1400000,30000,Mumbai,2024-01-05 18:00:00
C0116,Rahul Sharma,rahul@example.com,9876543210,36,1500000,50000,Bangalore,2024-01-05 19:00:00
C0117,Mayurkumar Surani,rahul@example.com,9876543210,53,1400000,85000,Mumbai,2024-01-05 20:00:00
C0118,Amit Kumar,rahul@example.com,7654321098,25,1200000,15000,Bangalore,2024-01-05 21:00:00
C0119,Mayurkumar Surani,,7654321098,25,600000,10000,Delhi,2024-01-05 22:00:00
C0120,Amit Kumar,priya@example.com,7654321098,53,1200000,45000,Mumbai,2024-01-05 23:00:00
C0121,Rahul Sharma,rahul@example.com,9876543210,20,3150000,80000,Bangalore,2024-01-06 00:00:00
C0122,Mayurkumar Surani,mayur@example.com,9876543210,29,900000,60000,Bangalore,2024-01-06 01:00:00
C0123,Mayurkumar Surani,,9876543210,40,700000,65000,Delhi,2024-01-06 02:00:00
C0124,Sneha Desai,rahul@example.com,918765432109,24,1600000,65000,Bangalore,2024-01-06 03:00:00
C0125,Priya  Patel,,7654321098,21,1700000,40000,Pune,2024-01-06 04:00:00
C0126,Amit Kumar,rahul@example.com,918765432109,41,1700000,70000,Delhi,2024-01-06 05:00:00
C0127,Mayurkumar Surani,,918765432109,21,1400000,45000,Pune,2024-01-06 06:00:00
C0128,Priya  Patel,,9876543210,29,800000,50000,Delhi,2024-01-06 07:00:00
C0129,Priya  Patel,,9876543210,53,1300000,40000,Bangalore,2024-01-06 08:00:00
C0130,Mayurkumar Surani,rahul@example.com,9876543210,35,600000,80000,Pune,2024-01-06 09:00:00
C0131,Priya  Patel,rahul@example.com,9876543210,58,500000,15000,Bangalore,2024-01-06 10:00:00
C0132,Sneha Desai,,9876543210,41,1100000,147500,Delhi,2024-01-06 11:00:00
C0133,Mayurkumar Surani,rahul@example.com,918765432109,31,3150000,65000,Bangalore,2024-01-06 12:00:00
C0134,Priya  Patel,priya@example.com,7654321098,43,700000,10000,Pune,2024-01-06 13:00:00
C0135,Mayurkumar Surani,priya@example.com,9876543210,59,700000,45000,Pune,2024-01-06 14:00:00
C0136,Sneha Desai,priya@example.com,7654321098,57,700000,30000,Bangalore,2024-01-06 15:00:00
C0137,Rahul Sharma,rahul@example.com,9876543210,29,3150000,80000,Mumbai,2024-01-06 16:00:00
C0138,Mayurkumar Surani,rahul@example.com,7654321098,54,1100000,10000,Delhi,2024-01-06 17:00:00
C0139,Priya  Patel,rahul@example.com,9876543210,51,1800000,10000,Delhi,2024-01-06 18:00:00
C0140,Mayurkumar Surani,priya@example.com,9876543210,26,3150000,55000,Bangalore,2024-01-06 19:00:00
C0141,Rahul Sharma,priya@example.com,918765432109,40,1700000,55000,Mumbai,2024-01-06 20:00:00
C0142,Rahul Sharma,,9876543210,39,800000,80000,Pune,2024-01-06 21:00:00
C0143,Amit Kumar,rahul@example.com,918765432109,45,500000,90000,Mumbai,2024-01-06 22:00:00
C0144,Sneha Desai,priya@example.com,918765432109,23,500000,35000,Mumbai,2024-01-06 23:00:00
C0145,Priya  Patel,rahul@example.com,918765432109,41,1700000,20000,Bangalore,2024-01-07 00:00:00
C0146,Mayurkumar Surani,rahul@example.com,9876543210,34,1400000,70000,Mumbai,2024-01-07 01:00:00
C0147,Amit Kumar,priya@example.com,9876543210,59,1500000,85000,Mumbai,2024-01-07 02:00:00
C0148,Sneha Desai,rahul@example.com,9876543210,40,1300000,45000,Delhi,2024-01-07 03:00:00
C0149,Amit Kumar,rahul@example.com,918765432109,34,1300000,80000,Pune,2024-01-07 04:00:00
C0150,Mayurkumar Surani,,9876543210,41,900000,90000,Mumbai,2024-01-07 05:00:00
C0151,Sneha Desai,rahul@example.com,918765432109,47,500000,90000,Mumbai,2024-01-07 06:00:00
C0152,Sneha Desai,mayur@example.com,7654321098,33,3150000,70000,Pune,2024-01-07 07:00:00
C0153,Priya  Patel,mayur@example.com,7654321098,46,600000,90000,Pune,2024-01-07 08:00:00
C0154,Sneha Desai,rahul@example.com,7654321098,40,1700000,35000,Bangalore,2024-01-07 09:00:00
C0155,Amit Kumar,priya@example.com,9876543210,59,1300000,90000,Mumbai,2024-01-07 10:00:00
C0156,Sneha Desai,rahul@example.com,918765432109,47,800000,85000,Bangalore,2024-01-07 11:00:00
C0157,Priya  Patel,rahul@example.com,7654321098,45,900000,75000,Mumbai,2024-01-07 12:00:00
C0158,Priya  Patel,rahul@example.com,9876543210,21,1500000,70000,Delhi,2024-01-07 13:00:00
C0159,Mayurkumar Surani,rahul@example.com,7654321098,44,700000,35000,Bangalore,2024-01-07 14:00:00
C0160,Amit Kumar,,7654321098,22,1600000,20000,Bangalore,2024-01-07 15:00:00
C0161,Rahul Sharma,,7654321098,27,1700000,75000,Mumbai,2024-01-07 16:00:00
C0162,Rahul Sharma,rahul@example.com,9876543210,52,1100000,75000,Bangalore,2024-01-07 17:00:00
C0163,Sneha Desai,mayur@example.com,9876543210,81,1900000,80000,Mumbai,2024-01-07 18:00:00
C0164,Mayurkumar Surani,rahul@example.com,918765432109,54,1100000,45000,Mumbai,2024-01-07 19:00:00
C0165,Mayurkumar Surani,rahul@example.com,9876543210,25,1200000,80000,Bangalore,2024-01-07 20:00:00
C0166,Sneha Desai,mayur@example.com,918765432109,58,900000,70000,Bangalore,2024-01-07 21:00:00
C0167,Mayurkumar Surani,priya@example.com,9876543210,42,1800000,90000,Delhi,2024-01-07 22:00:00
C0168,Amit Kumar,,9876543210,44,800000,20000,Bangalore,2024-01-07 23:00:00
C0169,Amit Kumar,mayur@example.com,9876543210,81,1400000,35000,Pune,2024-01-08 00:00:00
C0170,Amit Kumar,priya@example.com,9876543210,38,1900000,30000,Mumbai,2024-01-08 01:00:00
C0171,Amit Kumar,mayur@example.com,918765432109,24,1700000,90000,Pune,2024-01-08 02:00:00
C0172,Amit Kumar,,7654321098,30,1200000,15000,Mumbai,2024-01-08 03:00:00
C0173,Mayurkumar Surani,,918765432109,31,1300000,80000,Delhi,2024-01-08 04:00:00
C0174,Mayurkumar Surani,rahul@example.com,9876543210,29,3150000,30000,Bangalore,2024-01-08 05:00:00
C0175,Priya  Patel,rahul@example.com,9876543210,27,3150000,147500,Bangalore,2024-01-08 06:00:00
C0176,Rahul Sharma,mayur@example.com,9876543210,43,1100000,35000,Bangalore,2024-01-08 07:00:00
C0177,Amit Kumar,mayur@example.com,9876543210,47,1800000,35000,Mumbai,2024-01-08 08:00:00
C0178,Mayurkumar Surani,priya@example.com,918765432109,40,1800000,95000,Bangalore,2024-01-08 09:00:00
C0179,Mayurkumar Surani,,7654321098,55,800000,95000,Pune,2024-01-08 10:00:00
C0180,Mayurkumar Surani,mayur@example.com,7654321098,56,1900000,25000,Bangalore,2024-01-08 11:00:00
C0181,Mayurkumar Surani,,9876543210,40,700000,90000,Delhi,2024-01-08 12:00:00
C0182,Mayurkumar Surani,mayur@example.com,7654321098,27,900000,75000,Pune,2024-01-08 13:00:00
C0183,Priya  Patel,rahul@example.com,918765432109,28,500000,75000,Bangalore,2024-01-08 14:00:00
C0184,Mayurkumar Surani,rahul@example.com,918765432109,34,700000,70000,Bangalore,2024-01-08 15:00:00
C0185,Mayurkumar Surani,mayur@example.com,9876543210,59,1900000,40000,Mumbai,2024-01-08 16:00:00
C0186,Amit Kumar,,918765432109,37,1200000,65000,Mumbai,2024-01-08 17:00:00
C0187,Sneha Desai,rahul@example.com,9876543210,81,800000,80000,Pune,2024-01-08 18:00:00
C0188,Mayurkumar Surani,mayur@example.com,9876543210,39,600000,80000,Mumbai,2024-01-08 19:00:00
C0189,Priya  Patel,priya@example.com,918765432109,25,1400000,60000,Delhi,2024-01-08 20:00:00
C0190,Mayurkumar Surani,rahul@example.com,9876543210,31,800000,80000,Mumbai,2024-01-08 21:00:00
C0191,Priya  Patel,mayur@example.com,7654321098,21,700000,65000,Pune,2024-01-08 22:00:00
C0192,Mayurkumar Surani,rahul@example.com,918765432109,26,600000,20000,Bangalore,2024-01-08 23:00:00
C0193,Mayurkumar Surani,priya@example.com,9876543210,35,3150000,90000,Pune,2024-01-09 00:00:00
C0194,Sneha Desai,rahul@example.com,918765432109,22,1700000,20000,Bangalore,2024-01-09 01:00:00
C0195,Mayurkumar Surani,rahul@example.com,9876543210,22,900000,80000,Mumbai,2024-01-09 02:00:00
C0196,Priya  Patel,priya@example.com,9876543210,46,1300000,147500,Bangalore,2024-01-09 03:00:00
C0197,Rahul Sharma,rahul@example.com,918765432109,81,1000000,25000,Delhi,2024-01-09 04:00:00
C0198,Amit Kumar,priya@example.com,9876543210,59,900000,20000,Bangalore,2024-01-09 05:00:00
C0199,Priya  Patel,mayur@example.com,9876543210,57,1400000,85000,Delhi,2024-01-09 06:00:00
C0200,Mayurkumar Surani,priya@example.com,9876543210,52,1200000,65000,Mumbai,2024-01-09 07:00:00
C0201,Mayurkumar Surani,priya@example.com,9876543210,47,1100000,45000,Mumbai,2024-01-09 08:00:00
C0202,Amit Kumar,rahul@example.com,918765432109,20,1100000,90000,Pune,2024-01-09 09:00:00
C0203,Mayurkumar Surani,priya@example.com,7654321098,27,1000000,40000,Delhi,2024-01-09 10:00:00
C0204,Mayurkumar Surani,priya@example.com,9876543210,56,700000,60000,Delhi,2024-01-09 11:00:00
C0205,Mayurkumar Surani,mayur@example.com,9876543210,51,1900000,95000,Mumbai,2024-01-09 12:00:00
C0206,Rahul Sharma,rahul@example.com,918765432109,81,800000,10000,Mumbai,2024-01-09 13:00:00
C0207,Amit Kumar,,9876543210,56,1600000,20000,Mumbai,2024-01-09 14:00:00
C0208,Amit Kumar,mayur@example.com,7654321098,23,1000000,25000,Bangalore,2024-01-09 15:00:00
C0209,Mayurkumar Surani,mayur@example.com,9876543210,49,800000,70000,Mumbai,2024-01-09 16:00:00
C0210,Rahul Sharma,,9876543210,25,1900000,35000,Delhi,2024-01-09 17:00:00
C0211,Priya  Patel,priya@example.com,7654321098,38,1300000,75000,Bangalore,2024-01-09 18:00:00
C0212,Mayurkumar Surani,rahul@example.com,918765432109,51,900000,30000,Mumbai,2024-01-09 19:00:00
C0213,Sneha Desai,rahul@example.com,9876543210,28,1700000,85000,Pune,2024-01-09 20:00:00
C0214,Mayurkumar Surani,rahul@example.com,918765432109,31,900000,80000,Mumbai,2024-01-09 21:00:00
C0215,Mayurkumar Surani,,7654321098,30,3150000,80000,Mumbai,2024-01-09 22:00:00
C0216,Priya  Patel,mayur@example.com,9876543210,35,1800000,25000,Delhi,2024-01-09 23:00:00
C0217,Mayurkumar Surani,mayur@example.com,918765432109,20,3150000,45000,Pune,2024-01-10 00:00:00
C0218,Rahul Sharma,rahul@example.com,9876543210,40,1900000,85000,Mumbai,2024-01-10 01:00:00
C0219,Rahul Sharma,mayur@example.com,7654321098,49,800000,85000,Pune,2024-01-10 02:00:00
C0220,Amit Kumar,mayur@example.com,918765432109,32,1100000,25000,Mumbai,2024-01-10 03:00:00
C0221,Mayurkumar Surani,rahul@example.com,9876543210,53,3150000,70000,Delhi,2024-01-10 04:00:00
C0222,Sneha Desai,rahul@example.com,7654321098,23,1200000,70000,Pune,2024-01-10 05:00:00
C0223,Mayurkumar Surani,,9876543210,47,3150000,15000,Mumbai,2024-01-10 06:00:00
C0224,Mayurkumar Surani,mayur@example.com,7654321098,57,3150000,20000,Mumbai,2024-01-10 07:00:00
C0225,Priya  Patel,mayur@example.com,9876543210,50,1400000,45000,Mumbai,2024-01-10 08:00:00
C0226,Mayurkumar Surani,,918765432109,46,1400000,80000,Mumbai,2024-01-10 09:00:00
C0227,Rahul Sharma,priya@example.com,9876543210,24,600000,60000,Mumbai,2024-01-10 10:00:00
C0228,Sneha Desai,priya@example.com,7654321098,44,1300000,50000,Pune,2024-01-10 11:00:00
C0229,Amit Kumar,priya@example.com,9876543210,22,3150000,40000,Bangalore,2024-01-10 12:00:00
C0230,Rahul Sharma,,9876543210,52,1500000,70000,Mumbai,2024-01-10 13:00:00
C0231,Mayurkumar Surani,mayur@example.com,918765432109,23,1400000,15000,Pune,2024-01-10 14:00:00
C0232,Amit Kumar,,9876543210,44,3150000,45000,Mumbai,2024-01-10 15:00:00
C0233,Priya  Patel,,9876543210,39,800000,40000,Pune,2024-01-10 16:00:00
C0234,Priya  Patel,priya@example.com,7654321098,53,3150000,65000,Mumbai,2024-01-10 17:00:00
C0235,Mayurkumar Surani,rahul@example.com,7654321098,45,1900000,80000,Delhi,2024-01-10 18:00:00
C0236,Mayurkumar Surani,mayur@example.com,9876543210,24,900000,40000,Mumbai,2024-01-10 19:00:00
C0237,Sneha Desai,priya@example.com,7654321098,54,1000000,55000,Mumbai,2024-01-10 20:00:00
C0238,Amit Kumar,rahul@example.com,9876543210,47,3150000,85000,Mumbai,2024-01-10 21:00:00
C0239,Rahul Sharma,rahul@example.com,7654321098,48,500000,20000,Bangalore,2024-01-10 22:00:00
C0240,Mayurkumar Surani,rahul@example.com,918765432109,28,800000,55000,Mumbai,2024-01-10 23:00:00
C0241,Mayurkumar Surani,mayur@example.com,9876543210,57,3150000,35000,Mumbai,2024-01-11 00:00:00
C0242,Priya  Patel,rahul@example.com,918765432109,25,1300000,95000,Mumbai,2024-01-11 01:00:00
C0243,Mayurkumar Surani,priya@example.com,9876543210,38,600000,95000,Pune,2024-01-11 02:00:00
C0244,Mayurkumar Surani,rahul@example.com,9876543210,30,1200000,30000,Bangalore,2024-01-11 03:00:00
C0245,Amit Kumar,mayur@example.com,9876543210,21,1900000,40000,Pune,2024-01-11 04:00:00
C0246,Priya  Patel,,918765432109,28,1100000,15000,Mumbai,2024-01-11 05:00:00
C0247,Mayurkumar Surani,priya@example.com,9876543210,40,1000000,60000,Mumbai,2024-01-11 06:00:00
C0248,Sneha Desai,rahul@example.com,918765432109,43,500000,70000,Delhi,2024-01-11 07:00:00
C0249,Priya  Patel,rahul@example.com,9876543210,53,1900000,30000,Mumbai,2024-01-11 08:00:00
C0250,Amit Kumar,priya@example.com,7654321098,41,1100000,35000,Mumbai,2024-01-11 09:00:00
C0251,Amit Kumar,rahul@example.com,7654321098,22,3150000,75000,Pune,2024-01-11 10:00:00
C0252,Priya  Patel,rahul@example.com,9876543210,31,600000,65000,Pune,2024-01-11 11:00:00
C0253,Amit Kumar,mayur@example.com,918765432109,47,1300000,25000,Mumbai,2024-01-11 12:00:00
C0254,Priya  Patel,rahul@example.com,7654321098,49,1300000,35000,Mumbai,2024-01-11 13:00:00
C0255,Rahul Sharma,rahul@example.com,918765432109,45,1700000,55000,Delhi,2024-01-11 14:00:00
C0256,Priya  Patel,,918765432109,40,1000000,95000,Bangalore,2024-01-11 15:00:00
C0257,Priya  Patel,mayur@example.com,9876543210,47,1000000,80000,Pune,2024-01-11 16:00:00
C0258,Amit Kumar,mayur@example.com,7654321098,45,700000,45000,Mumbai,2024-01-11 17:00:00
C0259,Amit Kumar,priya@example.com,9876543210,52,3150000,50000,Pune,2024-01-11 18:00:00
C0260,Mayurkumar Surani,priya@example.com,9876543210,40,3150000,30000,Mumbai,2024-01-11 19:00:00
C0261,Mayurkumar Surani,,7654321098,54,1600000,55000,Mumbai,2024-01-11 20:00:00
C0262,Rahul Sharma,mayur@example.com,7654321098,53,3150000,147500,Pune,2024-01-11 21:00:00
C0263,Mayurkumar Surani,,9876543210,40,1900000,35000,Mumbai,2024-01-11 22:00:00
C0264,Priya  Patel,priya@example.com,9876543210,37,1700000,85000,Pune,2024-01-11 23:00:00
C0265,Amit Kumar,priya@example.com,918765432109,30,500000,20000,Bangalore,2024-01-12 00:00:00
C0266,Mayurkumar Surani,mayur@example.com,7654321098,42,3150000,55000,Delhi,2024-01-12 01:00:00
C0267,Mayurkumar Surani,rahul@example.com,9876543210,41,700000,60000,Mumbai,2024-01-12 02:00:00
C0268,Rahul Sharma,rahul@example.com,918765432109,36,1900000,60000,Mumbai,2024-01-12 03:00:00
C0269,Mayurkumar Surani,priya@example.com,918765432109,24,800000,90000,Bangalore,2024-01-12 04:00:00
